utc_time	profile	phase	t_ready_ms	t_content_ms	t_settled_ms	stalls_over_4ms	max_stall_ms	probe_ticks	objects_at_ready	objects_settled	layout_attached	objects_built	chain_tags	information_tiles
2026-08-19T21:21:33Z	whale-8a-2000g-500c	cold	34.17	35.61	139.09	5	10.80	71	914	916	-	-	4	2
2026-08-19T21:21:33Z	whale-8a-2000g-500c	warm	26.89	27.18	129.86	3	4.48	74	913	916	-	-	4	2
2026-08-19T21:21:34Z	whale-8a-2000g-500c	cold	31.08	34.40	85.99	4	9.11	39	916	916	-	-	4	2
2026-08-19T21:21:34Z	whale-8a-2000g-500c	warm	28.24	30.41	81.10	2	5.69	45	917	917	-	-	4	2
2026-08-19T21:21:36Z	whale-8a-2000g-500c	cold	32.22	35.61	87.21	4	10.41	39	916	916	-	-	4	2
2026-08-19T21:21:36Z	whale-8a-2000g-500c	warm	34.66	36.84	88.21	4	5.65	47	916	916	-	-	4	2
2026-08-19T21:21:37Z	whale-8a-2000g-500c	cold	35.43	36.70	139.65	5	11.71	74	914	916	-	-	4	2
2026-08-19T21:21:37Z	whale-8a-2000g-500c	warm	27.75	29.57	80.77	2	6.39	44	916	916	-	-	4	2
2026-08-19T21:21:39Z	whale-8a-2000g-500c	cold	32.93	35.87	87.64	5	10.28	36	917	917	-	-	4	2
2026-08-19T21:21:39Z	whale-8a-2000g-500c	warm	21.98	22.24	124.38	3	5.34	76	914	916	-	-	4	2
2026-08-19T21:21:40Z	whale-8a-2000g-500c	cold	33.29	36.74	87.68	5	9.07	37	916	916	-	-	4	2
2026-08-19T21:21:40Z	whale-8a-2000g-500c	warm	25.64	27.69	79.12	2	5.06	44	916	916	-	-	4	2
2026-08-19T21:21:42Z	whale-8a-2000g-500c	cold	33.47	35.00	136.69	6	10.48	70	914	916	-	-	4	2
2026-08-19T21:21:42Z	whale-8a-2000g-500c	warm	22.81	23.09	125.00	2	5.43	74	914	916	-	-	4	2
2026-08-19T21:21:43Z	whale-8a-2000g-500c	cold	32.82	34.29	137.20	5	10.17	72	914	916	-	-	4	2
2026-08-19T21:21:43Z	whale-8a-2000g-500c	warm	28.89	30.65	82.22	2	4.55	46	916	916	-	-	4	2
2026-08-19T21:21:45Z	whale-8a-2000g-500c	cold	33.98	35.48	137.58	4	10.65	71	914	916	-	-	4	2
2026-08-19T21:21:45Z	whale-8a-2000g-500c	warm	28.22	28.46	131.33	1	5.82	77	913	916	-	-	4	2
2026-08-19T21:21:46Z	whale-8a-2000g-500c	cold	31.38	34.49	84.80	4	9.84	36	917	917	-	-	4	2
2026-08-19T21:21:46Z	whale-8a-2000g-500c	warm	22.40	22.62	124.57	1	5.80	75	915	916	-	-	4	2
2026-08-19T21:21:47Z	whale-8a-2000g-500c	cold	32.12	35.94	87.56	5	9.20	37	916	916	-	-	4	2
2026-08-19T21:21:47Z	whale-8a-2000g-500c	warm	29.40	31.32	82.59	3	5.41	48	916	916	-	-	4	2
2026-08-19T21:21:49Z	whale-8a-2000g-500c	cold	34.01	35.33	138.07	5	10.75	69	914	916	-	-	4	2
2026-08-19T21:21:49Z	whale-8a-2000g-500c	warm	22.98	25.17	76.41	1	4.71	44	916	916	-	-	4	2
2026-08-20T08:04:49Z	whale-8a-2000g-500c	cold	35.31	38.55	89.39	7	11.37	40	917	917	108	809	4	2
2026-08-20T08:04:49Z	whale-8a-2000g-500c	warm	27.88	28.23	129.46	2	5.39	90	913	916	107	809	4	2
2026-08-20T08:05:13Z	whale-8a-2000g-500c	cold	39.80	42.84	94.78	7	8.06	41	916	916	107	809	4	2
2026-08-20T08:05:13Z	whale-8a-2000g-500c	warm	24.00	24.26	125.56	2	6.70	91	914	917	108	809	4	2
2026-08-20T08:05:16Z	whale-8a-2000g-500c	cold	33.80	34.68	136.18	5	10.62	76	914	916	107	809	4	2
2026-08-20T08:05:16Z	whale-8a-2000g-500c	warm	23.45	25.10	76.47	1	4.65	53	916	916	107	809	4	2
2026-08-20T08:05:19Z	whale-8a-2000g-500c	cold	39.55	42.85	93.73	5	9.66	40	916	916	107	809	4	2
2026-08-20T08:05:19Z	whale-8a-2000g-500c	warm	28.09	30.34	81.05	2	6.24	56	917	917	108	809	4	2
2026-08-20T08:05:22Z	whale-8a-2000g-500c	cold	35.50	36.76	138.71	2	10.08	79	915	917	108	809	4	2
2026-08-20T08:05:22Z	whale-8a-2000g-500c	warm	23.29	23.53	125.44	2	6.41	86	913	916	107	809	4	2
2026-08-20T08:05:25Z	whale-8a-2000g-500c	cold	32.46	35.74	86.29	6	10.66	37	916	916	107	809	4	2
2026-08-20T08:05:25Z	whale-8a-2000g-500c	warm	27.93	30.21	81.32	2	4.85	56	916	916	107	809	4	2
2026-08-20T08:05:28Z	whale-8a-2000g-500c	cold	40.35	43.78	94.91	3	9.68	43	916	916	107	809	4	2
2026-08-20T08:05:28Z	whale-8a-2000g-500c	warm	32.88	33.12	134.46	1	8.72	98	914	916	107	809	4	2
2026-08-20T08:05:31Z	whale-8a-2000g-500c	cold	33.41	34.77	136.54	6	9.89	73	915	917	108	809	4	2
2026-08-20T08:05:31Z	whale-8a-2000g-500c	warm	29.18	31.17	81.76	2	4.83	54	916	916	107	809	4	2
