utc_time	profile	phase	t_skeleton_ms	t_ready_ms	t_content_ms	t_first_asset_row_ms	stalls_over_4ms	stalls_over_8ms	max_stall_ms	probe_ticks	objects_total	account_delegates	asset_delegates	loading_asset_delegates	objects_settled	asset_delegates_settled	account_delegates_settled
2026-08-19T16:16:09Z	whale-8a-2000g-500c	cold	197.09	587.07	587.81	615.55	15	6	363.18	178	4602	8	0	0	9166	26	-
2026-08-19T16:16:09Z	whale-8a-2000g-500c	warm	3.48	77.84	78.57	98.74	13	3	17.58	186	4731	8	0	0	9166	26	-
2026-08-19T16:16:17Z	whale-8a-2000g-500c	cold	184.17	498.68	499.41	526.08	16	5	350.48	206	4602	8	0	0	9166	26	-
2026-08-19T16:16:17Z	whale-8a-2000g-500c	warm	7.05	112.92	113.71	135.16	15	2	32.27	199	4602	8	0	0	9166	26	-
2026-08-19T16:16:25Z	whale-8a-2000g-500c	cold	187.92	504.70	505.48	532.19	15	5	351.53	208	4602	8	0	0	9166	26	-
2026-08-19T16:16:25Z	whale-8a-2000g-500c	warm	14.77	106.15	106.92	129.66	15	4	17.88	195	4602	8	0	0	9166	26	-
2026-08-19T16:16:33Z	whale-8a-2000g-500c	cold	199.20	566.41	567.15	593.76	19	5	366.74	243	4602	8	0	0	9166	26	-
2026-08-19T16:16:33Z	whale-8a-2000g-500c	warm	4.25	93.83	94.54	114.21	15	2	18.17	195	4602	8	0	0	9166	26	-
2026-08-19T16:17:19Z	whale-8a-2000g-500c	cold	192.33	513.85	514.57	540.83	15	5	361.95	207	4602	8	0	0	9166	26	-
2026-08-19T16:17:19Z	whale-8a-2000g-500c	warm	7.63	97.35	98.22	122.50	15	3	21.53	189	4602	8	0	0	9166	26	-
2026-08-19T16:19:15Z	whale-8a-2000g-500c	cold	194.98	513.21	513.90	541.08	16	5	363.06	212	4602	8	0	0	9166	26	-
2026-08-19T16:19:15Z	whale-8a-2000g-500c	warm	3.90	93.38	94.17	116.52	15	3	22.34	194	4602	8	0	0	9166	26	-
2026-08-19T16:19:23Z	whale-8a-2000g-500c	cold	187.82	507.37	508.04	532.01	16	3	350.98	214	4602	8	0	0	9166	26	-
2026-08-19T16:19:23Z	whale-8a-2000g-500c	warm	4.34	92.54	93.17	113.41	13	2	19.64	157	4602	8	0	0	9166	26	-
2026-08-19T16:19:31Z	whale-8a-2000g-500c	cold	186.80	502.26	502.98	528.88	16	5	353.38	204	4602	8	0	0	9166	26	-
2026-08-19T16:19:31Z	whale-8a-2000g-500c	warm	3.62	78.61	79.39	98.56	12	3	17.51	189	4731	8	0	0	9166	26	-
2026-08-19T16:47:43Z	whale-8a-2000g-500c	cold	186.82	523.87	524.52	573.78	10	-	348.24	172	4312	8	0	0	8659	26	-
2026-08-19T16:47:43Z	whale-8a-2000g-500c	warm	11.11	119.45	120.27	164.76	10	-	34.91	134	4312	8	0	0	8659	26	-
2026-08-19T16:48:32Z	whale-8a-2000g-500c	cold	182.82	490.55	491.21	540.12	9	-	344.08	145	4312	8	0	0	8659	26	-
2026-08-19T16:48:32Z	whale-8a-2000g-500c	warm	5.85	94.23	94.98	137.05	9	-	32.76	125	4312	8	0	0	8659	26	-
2026-08-19T16:48:47Z	whale-8a-2000g-500c	cold	179.28	508.87	509.52	556.68	10	-	338.39	169	4312	8	0	0	8659	26	-
2026-08-19T16:48:47Z	whale-8a-2000g-500c	warm	7.00	96.28	96.92	133.28	9	-	28.98	131	4441	8	0	0	8659	26	-
2026-08-19T16:48:54Z	whale-8a-2000g-500c	cold	185.87	493.57	494.24	545.16	10	-	346.15	144	4312	8	0	0	8659	26	-
2026-08-19T16:48:54Z	whale-8a-2000g-500c	warm	3.25	77.81	78.47	117.46	7	-	30.20	120	4312	8	0	0	8659	26	-
